Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Indonesia,IDN,12.9166,14.57182,14.76712,16.61711,15.37529,15.4731,..,14.11492,15.3284,15.2071,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,"Iran, Islamic Rep.",IRN,..,..,..,..,17.55105,17.51293,..,18.6938,19.00886,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Iraq,IRQ,..,19.73519,..,..,..,..,..,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Ireland,IRL,17.01357,..,..,..,..,..,..,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Israel,ISR,10.8389,10.6371,..,..,..,..,..,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Italy,ITA,9.17612,10.45422,..,..,11.37547,..,11.29297,10.04517,9.98461,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Jamaica,JAM,..,18.45466,16.81034,..,16.17915,16.49503,16.42874,18.10698,15.49229,16.69828,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Japan,JPN,..,..,..,..,..,11.44178,11.3877,11.21106,11.11967,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Jordan,JOR,..,..,..,..,..,14.5993,..,..,11.431,12.26127,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Kazakhstan,KAZ,..,..,..,..,..,..,7.50668,6.79388,6.59153,6.95898,7.67993,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Kenya,KEN,..,..,..,..,..,..,..,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Kiribati,KIR,12.15789,..,..,..,..,..,..,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..,..,17.47049,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,"Korea, Rep.",KOR,27.66815,21.02036,16.2053,15.97947,15.61105,14.91446,14.40724,13.84298,13.26544,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Kuwait,KWT,12.50159,10.78929,..,..,..,..,7.58836,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Kyrgyz Republic,KGZ,..,13.33059,14.29209,12.56466,12.20861,12.40401,10.79995,9.86636,10.43743,10.64648,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Lao PDR,LAO,11.76604,21.33414,19.88845,18.60615,17.7271,18.3395,18.7202,18.34744,18.13429,18.15412,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Latvia,LVA,9.59315,10.73766,8.33016,7.89986,8.32843,8.21486,8.03226,8.10571,8.2712,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Lebanon,LBN,..,..,9.30599,..,8.20747,7.74275,..,7.67398,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Lesotho,LSO,..,22.06443,24.76922,24.69132,24.13987,23.46834,23.95153,23.16604,25.34293,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Liberia,LBR,..,..,..,..,..,14.88293,18.39079,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Libya,LBY,..,..,..,..,..,..,..,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Liechtenstein,LIE,..,..,10.67314,..,..,9.70487,9.90828,9.65192,9.55752,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Lithuania,LTU,..,11.18394,8.56257,8.31545,8.10003,8.07679,7.88976,7.68762,7.80821,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Luxembourg,LUX,..,10.88618,8.62161,7.88117,7.9546,9.11907,9.44748,8.82794,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,"Macao SAR, China",MAC,..,23.88049,14.75386,14.40565,13.1121,12.2064,11.44466,10.66209,10.13764,9.75724,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Madagascar,MDG,21.65603,..,..,27.63587,..,23.11643,..,..,20.04302,19.29784,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Malawi,MWI,..,..,42.1285,41.52301,41.681,39.21122,37.89961,..,..,72.31002,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Malaysia,MYS,19.3354,18.37824,13.57944,13.92335,13.27612,..,..,13.21255,12.2751,11.40208,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Maldives,MDV,..,15.27481,..,..,..,..,..,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Mali,MLI,..,28.97326,24.71884,..,19.2752,18.88774,19.19297,19.4834,17.43224,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Malta,MLT,12.22619,10.70128,8.3145,8.52146,8.09958,7.87035,7.79572,7.21022,7.11247,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Mauritania,MRT,18.10136,26.32665,..,..,..,33.0932,33.54677,26.36771,23.70599,25.9167,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Mauritius,MUS,..,19.39514,14.9129,14.7082,13.12128,13.26561,12.87505,..,12.65226,10.9886,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Mexico,MEX,16.93628,16.92285,17.67731,17.74098,17.95597,16.12339,16.08213,16.30684,16.85759,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Moldova,MDA,13.26976,13.24936,9.89848,9.57243,9.58607,9.376,9.34236,9.22639,9.91073,9.86318,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Monaco,MCO,..,..,..,..,..,..,8.12069,..,8.54364,..,..,..
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS,Mongolia,MNG,18.82154,19.91429,..,..,..,..,..,..,..,..,..,..
